pi1,coordinator,pi2
3.53,6.67,1.87
3.63,7.0,1.87
3.63,7.0,1.87
3.67,31.67,2.3
4.83,56.33,4.03
6.03,81.33,4.27
6.03,81.67,4.27
6.03,82.0,4.27
6.03,82.33,4.27
6.03,82.67,4.27
6.03,83.0,4.27
6.5,83.0,4.37
6.53,83.33,4.37
6.53,83.67,4.37
6.53,84.0,4.37
6.57,84.33,4.37
6.9,84.67,4.47
7.0,85.0,4.47
7.03,85.0,4.47
17.87,85.67,15.07
18.03,86.0,15.07
18.07,86.0,15.07
18.07,112.67,24.6
38.27,138.0,36.1
39.13,164.0,36.1
39.13,164.33,36.1
39.13,164.67,36.1
39.13,165.0,36.1
39.13,165.0,36.1
39.13,165.33,36.1
39.4,165.67,36.23
39.6,166.0,36.23
39.63,166.33,36.23
39.63,166.67,36.23
39.67,167.0,36.23
39.67,167.33,36.23
40.03,167.67,36.37
49.67,168.0,46.83
50.67,168.0,46.87
51.07,168.33,46.97
51.13,169.0,46.97
61.73,220.33,57.47
72.27,246.33,67.97
72.3,246.67,67.97
72.3,247.0,67.97
72.3,247.0,67.97
72.3,247.33,67.97
72.3,247.67,67.97
72.3,248.0,67.97
72.3,248.33,67.97
72.3,248.67,67.97
72.77,249.0,68.07
72.77,249.33,68.07
72.8,249.33,68.07
72.8,250.0,68.07
72.83,250.33,68.07
83.77,250.33,78.67
83.8,250.67,78.67
83.83,251.0,78.67
84.2,265.33,78.8
104.87,302.67,99.9
105.5,328.67,99.9
105.5,329.33,99.9
105.53,329.33,99.9
105.53,329.67,99.9
105.57,330.0,99.9
105.57,330.33,99.9
105.57,330.67,99.9
105.57,331.0,99.9
105.57,331.33,99.9
105.9,331.67,100.0
106.03,332.0,100.0
106.07,332.33,100.0
106.07,332.33,100.0
106.1,332.67,110.4
116.63,333.0,110.5
116.97,333.33,110.6
117.07,333.67,110.6
117.1,385.33,120.13
138.47,399.0,132.3
138.67,411.67,132.3
138.73,412.33,132.3
138.73,412.33,132.3
138.77,412.67,132.3
138.77,413.0,132.3
138.77,413.33,132.3
138.77,413.67,132.3
138.77,413.67,132.3
138.77,414.33,132.3
138.77,414.67,132.3
139.0,414.67,132.4
139.2,415.33,132.4
139.23,415.33,132.4
149.73,415.67,142.9
149.77,416.0,142.9
149.77,416.33,142.9
150.17,442.33,143.0
160.73,468.0,163.07
171.33,494.33,164.07
171.67,494.67,164.17
171.83,494.67,164.17
171.87,495.0,164.17
171.87,495.33,164.17
171.93,495.67,164.17
171.93,495.67,164.17
171.93,496.33,164.17
171.93,496.67,164.17
171.93,496.67,164.17
171.93,497.33,164.17
171.93,497.67,164.17
172.23,498.0,164.27
172.37,498.0,173.83
182.0,498.33,173.83
182.0,498.67,173.83
182.03,499.33,173.83
182.03,502.67,183.37
201.57,503.33,193.07
201.67,504.33,193.07
201.7,504.67,193.07
