pi1,coordinator,pi2
2.37,6.0,0.68
2.37,6.0,0.68
2.4,6.0,0.68
3.6,6.33,1.87
6.07,80.0,2.94
6.07,80.33,4.13
6.07,80.67,4.13
6.07,81.0,4.13
6.07,81.0,4.13
6.07,81.67,4.13
6.07,82.0,4.13
6.4,82.0,4.23
6.5,82.67,4.23
6.87,83.0,4.37
6.97,83.0,4.37
7.03,83.33,4.37
7.03,83.67,4.37
7.07,84.0,4.37
7.43,84.0,4.37
7.6,84.67,4.5
7.67,85.0,4.6
7.67,85.0,4.6
18.23,86.33,15.1
39.33,163.0,35.13
39.33,163.0,36.1
39.33,163.0,36.1
39.33,164.0,36.1
39.33,164.0,36.1
39.33,164.0,36.1
39.33,164.67,36.1
39.33,165.0,36.1
39.73,165.0,36.23
39.77,165.33,36.23
40.1,166.0,36.33
40.23,166.0,36.33
40.33,166.0,36.33
40.33,166.67,36.33
40.4,167.0,36.33
40.77,167.0,36.33
40.87,167.67,36.43
40.9,168.0,36.43
61.33,244.33,46.93
72.47,245.0,67.93
72.47,246.0,67.93
72.47,246.0,67.93
72.47,246.0,67.93
72.47,246.33,67.93
72.47,247.0,67.93
72.47,247.0,67.93
72.47,247.33,67.93
72.47,248.0,67.93
72.83,248.0,68.03
72.9,248.0,68.03
73.33,249.0,68.13
73.4,249.0,68.13
73.5,249.0,68.13
73.5,249.33,68.13
73.53,250.0,68.13
73.83,250.0,68.13
83.53,250.33,77.8
102.7,255.0,87.37
102.7,255.0,96.93
