pi1,coordinator,pi2
0.78,12.67,6.7
0.78,12.67,6.7
0.78,13.0,6.7
1.81,13.67,7.37
4.43,83.33,10.23
4.43,87.33,10.23
4.43,88.0,10.8
4.53,88.0,10.9
4.63,88.67,11.23
4.63,89.0,11.67
4.63,89.0,11.77
4.73,89.67,11.83
4.93,90.0,21.33
36.73,142.0,42.37
36.73,168.0,43.87
36.83,168.33,44.03
36.83,168.67,44.43
36.83,169.0,44.53
36.83,169.33,44.57
36.87,169.67,44.63
36.93,170.0,44.8
47.47,172.0,55.3
68.43,244.0,76.73
68.43,248.33,76.77
68.43,248.33,76.77
68.43,248.67,76.77
68.43,249.33,77.3
68.53,249.33,77.43
68.73,249.67,77.87
68.83,250.33,78.37
87.87,253.0,97.43
97.37,254.67,107.03
97.37,255.33,107.07
97.37,255.33,107.07
