pi1,coordinator,pi2
0.8,10.0,3.27
0.97,10.33,3.36
0.97,10.67,3.8
1.44,35.33,5.07
3.37,60.33,6.27
3.37,60.33,6.27
3.39,61.0,6.3
3.39,61.33,6.3
3.49,61.33,6.47
3.49,62.0,6.83
3.49,62.33,6.9
3.56,62.33,7.0
3.63,88.33,17.6
24.63,113.67,28.1
24.63,114.67,28.1
24.63,115.0,28.1
24.63,115.33,28.1
24.73,115.33,28.57
24.73,115.67,28.67
24.79,116.33,28.77
24.79,116.67,28.9
44.91,142.67,48.9
46.44,169.0,50.73
46.44,169.33,50.93
46.44,169.33,50.97
46.44,170.0,50.97
46.46,170.33,50.97
46.46,170.33,51.03
46.66,171.0,51.4
46.8,172.67,61.13
67.63,197.33,72.57
67.63,223.33,72.6
67.63,223.67,72.63
67.63,223.67,72.63
67.63,223.67,72.63
67.63,224.33,72.63
67.63,224.67,72.83
67.83,225.0,73.3
67.9,250.33,83.3
88.86,252.67,94.4
88.86,277.33,94.4
88.97,278.0,94.43
88.97,278.33,94.87
88.97,302.67,94.97
88.97,303.33,95.0
88.97,303.67,95.03
89.97,304.0,95.1
90.33,330.33,106.17
111.27,356.67,118.83
111.27,357.0,119.0
111.27,357.33,119.03
111.27,358.0,119.03
111.27,383.67,119.1
111.3,383.67,119.1
111.43,384.33,119.17
120.93,384.67,119.27
132.13,410.67,139.33
142.93,436.67,151.13
142.93,437.0,151.13
142.93,437.0,151.17
143.07,438.0,151.17
143.07,464.0,151.2
143.1,464.0,151.63
143.23,464.0,151.8
153.73,464.67,151.87
174.03,491.33,173.43
174.57,516.67,184.53
174.57,517.0,184.53
174.7,517.67,184.87
174.7,543.33,185.03
174.7,543.33,185.1
174.73,544.0,185.13
174.87,544.33,185.2
185.4,546.33,185.3
206.83,593.0,206.8
206.83,597.0,216.67
206.83,597.0,216.83
206.93,597.67,217.13
206.93,623.67,217.17
206.93,623.67,217.23
207.1,624.0,217.27
207.27,624.67,217.37
217.87,650.67,227.57
239.17,676.33,249.3
239.17,677.0,249.33
239.17,677.33,249.33
239.17,677.67,249.4
239.17,703.67,249.4
239.33,704.0,249.8
239.43,704.0,250.0
249.1,704.33,250.2
260.13,730.67,270.07
270.9,756.33,281.57
270.9,756.33,281.57
270.9,757.0,281.57
270.9,782.33,281.57
270.9,783.0,281.9
271.03,783.67,282.1
271.17,784.0,282.17
281.7,784.33,282.3
301.73,810.33,303.2
302.7,836.0,313.7
302.7,836.33,314.2
302.7,836.67,314.23
302.7,862.67,314.3
302.7,863.0,314.3
302.73,863.33,314.33
302.8,863.67,314.43
313.47,865.67,314.93
332.47,867.0,343.53
332.47,867.33,344.5
332.47,868.0,344.53
