pi1,coordinator,pi2
1.97,6.0,0.56
2.3,6.33,0.7
2.5,6.67,0.7
4.87,76.67,1.89
6.1,80.67,4.27
6.13,80.67,4.27
6.13,81.0,4.27
6.13,81.33,4.27
6.13,81.67,4.27
6.13,82.0,4.27
6.13,82.33,4.27
6.5,82.67,4.27
6.6,83.0,4.37
6.63,83.33,4.37
6.63,83.67,4.37
6.67,83.67,4.37
27.63,161.0,14.87
38.4,161.33,35.97
38.6,161.67,35.97
38.63,162.0,35.97
38.63,162.33,36.07
39.03,162.67,36.07
39.1,162.67,36.07
39.17,163.0,36.07
39.17,163.33,36.07
39.2,163.67,36.07
39.2,164.0,36.07
39.2,164.33,36.07
48.73,200.0,46.37
60.23,242.0,67.57
70.73,242.0,67.57
71.13,242.67,67.63
71.3,242.67,67.77
71.33,243.0,67.77
71.33,243.33,67.77
71.37,243.67,67.77
71.37,244.0,67.77
71.67,244.33,67.87
71.83,244.67,67.87
71.87,244.67,67.87
71.87,245.0,68.0
81.87,249.67,77.57
101.03,250.0,96.67
101.07,250.33,96.67
